market_id,market_title,slug,event_slug,category,submarket,outcome,outcome_index,total_bought_usdc,avg_entry_price,resolved_price,realized_pnl_usdc,win
0x9670349714327b326aff4e437008d830d2d2256f623ac27da0c8c8f3b87ab098,SV Werder Bremen vs. TSG 1899 Hoffenheim: O/U 2.5,bun-wer-hof-2026-01-10-total-2pt5,bun-wer-hof-2026-01-10-more-markets,Soccer,Bundesliga,Under,1,19656.62,0.441648,1.0,10886.503954,True
0x42b7dca7f42f3a131975fb9b246e9c47041390ebafa667f167c7785484db9e5f,FC St. Pauli 1910 vs. RB Leipzig: O/U 2.5,bun-pau-lei-2026-01-10-total-2pt5,bun-pau-lei-2026-01-10-more-markets,Soccer,Bundesliga,Under,1,26420.91,0.594055,1.0,10725.436309,True
0x393557eaf4c3ec53cf4a341d12263914944220359b6f02b703109ce220257641,Patriots vs. Broncos,nfl-ne-den-2026-01-25,nfl-ne-den-2026-01-25,NFL,NFL,Patriots,0,69852.840949,0.754407,1.0,10485.824191,True
0x44452ccb8db9842f5ec7661b4c315619efec9da11c73f34d6626a796b94c8aa6,Spread: Lakers (-7.5),nba-lac-lal-2026-02-20-spread-home-7pt5,nba-lac-lal-2026-02-20,NBA,La Liga,Clippers,1,20400.0,0.51,1.0,9996.0,True
0x820961b32f9d79e5313bf4c194730c37fb6bd6d37fbac64eccd3823a4455da5e,Will Club Atlético de Madrid win on 2026-02-28?,lal-ovi-mad-2026-02-28-mad,lal-ovi-mad-2026-02-28,Soccer,La Liga,Yes,0,20579.647717,0.533156,1.0,9607.48505,True
0xe3607de5f78a16cc3ad07489629034d7a793fb2e6e34eea3b7b72859682dc61d,Spread: Thunder (-7.5),nba-den-okc-2026-03-09-spread-home-7pt5,nba-den-okc-2026-03-09,NBA,NBA,Nuggets,1,37701.149362,0.6146429999999998,1.0,9287.048681,True
0xe7051386002e2a4d4815565df43df69652e5cf712001dd5941539c07b0cf00cb,SV Werder Bremen vs. TSG 1899 Hoffenheim: O/U 3.5,bun-wer-hof-2026-01-10-total-3pt5,bun-wer-hof-2026-01-10-more-markets,Soccer,Bundesliga,Under,1,27049.24,0.671985,1.0,8552.627652,True
0x31743c7bb0f88d9399e67cb1b55335b724b273da18ce953cb4d2e0f19f8afebd,Will FC Bayern München win on 2026-03-06?,bun-bay-moe-2026-03-06-bay,bun-bay-moe-2026-03-06,Soccer,Bundesliga,Yes,0,40000.0,0.79,1.0,8400.0,True
0x11afa3f67582267111d6aff89160984ebf145fac264cf8d0628f90f24ad28672,Will Leeds United FC win on 2026-02-28?,epl-lee-mac-2026-02-28-lee,epl-lee-mac-2026-02-28,Soccer,EPL,No,1,60330.003670000006,0.81,1.0,6882.714507,True
0x342f07d0f160d8614a11880f812d68568419d5b1f7a606b3a422e08b90cc8482,Will the New England Patriots win the Super Bowl?,will-the-new-england-patriots-win-the-super-bowl,new-england-patriots-stage-of-elimination-20252026,Other,Other,No,1,32034.17,0.767938,1.0,6758.02138,True
